id,nup,,,
4,60080.000222/2025-78,,,
5,64536.013335/2026-70,,,
6,61165.000510/2026-36,,,
7,60220.000111/2026-09,,,
8,61001.006954/2024-96,,,
9,00270.000127/2026-96,,,
10,60090.000414/2024-84,,,
11,64536.013525/2026-97,,,
12,60588.000002/2026-14,,,
13,63983.002916/2025-64,,,
14,71000.088546/2024-16,,,
15,60000.000575/2023-59,,,
16,61001.000899/2026-92,,,
17,60550.033464/2024-83,,,
18,64536.013723/2026-51,,,
19,60598.000054/2026-71,,,
20,64536.013645/2026-94,,,
21,64536.013907/2026-11,,,
22,60598.000054/2026-71,,,
23,63011.001653/2026-44,,,
24,19975.032817/2024-33,,,
25,60041.000037/2026-21,,,
26,60550.002162/2026-25,,,
27,00058.095403/2025-20,,,
28,60006.000021/2026-44,,,
29,52315.100494/2023-86,,,
30,60063.000014/2026-68,,,
31,08001.003864/2023-80,,,
32,64536.010006/2026-77,,,
33,60090.000414/2024-84,,,
34,61001.006954/2024-96,,,
35,60000.002836/2026-18,,,
36,00190.108129/2025-31,,,
37,60080.000269/2021-16,,,
38,02000.001930/2023-19,,,
39,52315.100729/2023-30,,,
40,02001.020690/2025-03,,,
